# Author: LRP
# Date: 15-06-2015
# Description:
# Spectrum of NGC6822-RSG01 taken from a grid of synthetic spectra
# Degraded and resampled to match the observations
# 1: Wavelength
# 2: Norm. Flux
1.165126 0.974025
1.165243 0.958903
1.165360 0.950345
1.165477 0.953156
1.165593 0.953743
1.165710 0.955925
1.165827 0.969574
1.165944 0.979187
1.166061 0.976604
1.166178 0.974651
1.166295 0.979802
1.166411 0.980716
1.166528 0.964898
1.166645 0.941781
1.166762 0.926870
1.166879 0.923043
1.166996 0.935280
1.167113 0.955210
1.167229 0.970015
1.167346 0.981530
1.167463 0.989975
1.167580 0.994109
1.167697 0.995008
1.167814 0.988662
1.167931 0.968485
1.168048 0.945994
1.168164 0.943640
1.168281 0.951404
1.168398 0.953805
1.168515 0.962028
1.168632 0.971870
1.168749 0.952837
1.168866 0.882299
1.168982 0.813335
1.169099 0.831484
1.169216 0.905125
1.169333 0.943705
1.169450 0.939321
1.169567 0.937270
1.169684 0.956897
1.169800 0.976274
1.169917 0.976641
1.170034 0.971195
1.170151 0.977918
1.170268 0.989660
1.170385 0.996117
1.170502 0.994173
1.170618 0.982305
1.170735 0.963825
1.170852 0.952130
1.170969 0.955333
1.171086 0.953786
1.171203 0.944873
1.171320 0.954713
1.171437 0.976923
1.171553 0.988241
1.171670 0.985997
1.171787 0.981202
1.171904 0.984380
1.172021 0.987628
1.172138 0.973498
1.172255 0.943706
1.172371 0.929748
1.172488 0.948294
1.172605 0.972316
1.172722 0.978516
1.172839 0.976067
1.172956 0.980039
1.173073 0.987748
1.173189 0.990368
1.173306 0.987462
1.173423 0.980760
1.173540 0.969264
1.173657 0.958841
1.173774 0.961566
1.173891 0.967221
1.174007 0.962570
1.174124 0.963290
1.174241 0.979528
1.174358 0.994924
1.174475 0.998285
1.174592 0.990728
1.174709 0.979160
1.174826 0.974841
1.174942 0.976529
1.175059 0.967503
1.175176 0.947264
1.175293 0.942206
1.175410 0.958639
1.175527 0.974615
1.175644 0.977753
1.175760 0.975922
1.175877 0.980431
1.175994 0.990575
1.176111 0.997471
1.176228 0.998412
1.176345 0.993024
1.176462 0.976506
1.176578 0.958674
1.176695 0.957013
1.176812 0.955626
1.176929 0.937306
1.177046 0.922077
1.177163 0.914353
1.177280 0.910266
1.177396 0.930862
1.177513 0.962952
1.177630 0.975052
1.177747 0.969931
1.177864 0.952707
1.177981 0.909613
1.178098 0.847724
1.178215 0.800379
1.178331 0.806082
1.178448 0.875991
1.178565 0.951038
1.178682 0.981458
1.178799 0.983047
1.178916 0.985301
1.179033 0.992038
1.179149 0.994321
1.179266 0.988492
1.179383 0.974683
1.179500 0.951559
1.179617 0.926138
1.179734 0.918734
1.179851 0.931076
1.179967 0.944650
1.180084 0.960047
1.180201 0.977698
1.180318 0.989104
1.180435 0.993602
1.180552 0.993266
1.180669 0.988271
1.180785 0.980751
1.180902 0.971031
1.181019 0.948706
1.181136 0.921074
1.181253 0.922172
1.181370 0.954318
1.181487 0.983624
1.181604 0.991850
1.181720 0.987026
1.181837 0.981911
1.181954 0.981885
1.184058 0.937234
1.184174 0.932519
1.184291 0.937841
1.184408 0.953024
1.184525 0.974080
1.184642 0.990312
1.184759 0.994152
1.184876 0.989922
1.184993 0.984823
1.185109 0.985599
1.185226 0.991743
1.185343 0.995180
1.185460 0.989651
1.185577 0.975160
1.185694 0.962815
1.185811 0.966353
1.185927 0.975703
1.186044 0.971550
1.186161 0.961463
1.186278 0.965432
1.186395 0.978358
1.186512 0.988669
1.186629 0.995581
1.186745 0.999659
1.186862 1.000588
1.186979 0.995028
1.187096 0.978149
1.187213 0.953493
1.187330 0.934561
1.187447 0.930838
1.187563 0.942120
1.187680 0.963560
1.187797 0.981279
1.187914 0.980663
1.188031 0.945647
1.188148 0.850503
1.188265 0.725053
1.188381 0.686822
1.188498 0.780261
1.188615 0.903635
1.188732 0.962740
1.188849 0.962416
1.188966 0.945987
1.189083 0.931093
1.189200 0.907142
1.189316 0.887762
1.189433 0.906172
1.189550 0.947332
1.189667 0.977274
1.189784 0.990212
1.189901 0.993967
1.190018 0.994778
1.190134 0.992849
1.190251 0.982368
1.190368 0.963781
1.190485 0.954681
1.190602 0.962472
1.190719 0.966334
1.190836 0.964188
1.190952 0.973211
1.191069 0.985441
1.191186 0.989248
1.191303 0.989982
1.191420 0.989703
1.193523 0.983675
1.193640 0.966774
1.193757 0.958370
1.193874 0.966344
1.193991 0.972646
1.194108 0.967487
1.194225 0.967861
1.194341 0.980108
1.194458 0.991486
1.194575 0.992034
1.194692 0.975579
1.194809 0.935776
1.194926 0.898091
1.195043 0.906727
1.195159 0.946809
1.195276 0.970066
1.195393 0.960912
1.195510 0.940540
1.195627 0.936706
1.195744 0.951109
1.195861 0.961625
1.195978 0.965873
1.196094 0.975855
1.196211 0.985812
1.196328 0.987853
1.196445 0.986611
1.196562 0.986781
1.196679 0.987441
1.196796 0.981851
1.196912 0.959556
1.197029 0.913880
1.197146 0.834722
1.197263 0.739134
1.197380 0.716994
1.197497 0.805043
1.197614 0.913358
1.197730 0.970518
1.197847 0.987055
1.197964 0.987473
1.198081 0.976877
1.198198 0.946183
1.198315 0.893275
1.198432 0.859130
1.198548 0.885126
1.198665 0.931646
1.198782 0.950284
1.198899 0.944384
1.199016 0.915908
1.199133 0.878716
1.199250 0.877469
1.199367 0.915378
1.199483 0.956428
1.199600 0.980963
1.199717 0.990502
1.199834 0.994201
1.199951 0.994994
1.200068 0.990422
1.200185 0.978761
1.200301 0.957792
1.200418 0.934748
1.200535 0.930677
1.200652 0.949051
1.200769 0.968550
1.200886 0.971511
1.201003 0.965072
1.201119 0.966547
1.201236 0.975435
1.201353 0.984325
1.201470 0.990444
1.201587 0.990728
1.201704 0.987219
1.201821 0.986216
1.201937 0.987114
1.202054 0.982920
1.202171 0.970467
1.202288 0.961182
1.202405 0.967622
1.202522 0.978304
1.202639 0.975780
1.202756 0.962648
1.202872 0.946596
1.202989 0.911495
1.203106 0.864691
1.203223 0.863628
1.203340 0.915231
1.203457 0.963670
1.203574 0.982654
1.203690 0.980900
1.203807 0.965943
1.203924 0.950470
1.204041 0.949201
1.204158 0.957704
1.204275 0.961815
1.204392 0.956759
1.204508 0.953663
1.204625 0.964714
1.204742 0.981664
1.204859 0.990668
1.204976 0.990402
1.205093 0.981244
1.205210 0.963323
1.205326 0.951802
1.205443 0.959448
1.205560 0.971809
1.205677 0.972726
1.205794 0.969764
1.205911 0.977244
1.206028 0.988747
1.206145 0.988373
1.206261 0.974779
1.206378 0.963855
1.206495 0.969091
1.206612 0.981600
1.206729 0.988657
1.206846 0.989579
1.206963 0.988681
1.207079 0.987152
1.207196 0.982049
1.207313 0.972972
1.207430 0.968126
1.207547 0.974498
1.207664 0.983970
1.207781 0.986839
1.207897 0.977122
1.208715 0.979885
1.208832 0.984588
1.208949 0.988065
1.209066 0.991456
1.209183 0.986638
1.209300 0.972215
1.209417 0.963760
1.209534 0.971981
1.209650 0.983177
1.209767 0.981686
1.209884 0.969161
1.210001 0.957728
1.210118 0.946576
1.210235 0.919966
1.210352 0.897937
1.210468 0.918879
1.210585 0.962112
1.210702 0.985075
1.210819 0.981282
1.210936 0.963985
1.211053 0.953167
1.211170 0.960430
1.211286 0.972746
1.211403 0.977135
1.211520 0.975753
1.211637 0.970493
1.211754 0.959952
1.211871 0.951385
1.211988 0.955847
1.212104 0.972645
1.212221 0.989420
1.212338 0.997254
1.212455 0.995983
1.212572 0.988546
1.212689 0.981542
1.212806 0.979990
1.212923 0.977535
1.213039 0.971189
1.213156 0.971125
1.213273 0.978514
1.213390 0.983109
1.213507 0.979603
1.213624 0.973681
1.213741 0.976577
1.213857 0.986087
1.213974 0.992070
1.214091 0.992216
1.214208 0.989818
1.214325 0.988297
1.214442 0.986563
1.214559 0.979609
1.214675 0.972389
1.214792 0.975645
1.214909 0.986139
