# Author: LRP
# Date: 15-06-2015
# Description:
# Spectrum of NGC6822-RSG01 taken from a grid of synthetic spectra
# At model resolution and sampling
# 1: Wavelength
# 2: Norm. Flux
1.165020 0.977436
1.165050 0.978807
1.165079 0.983323
1.165109 0.990649
1.165139 0.996064
1.165168 0.997883
1.165198 0.991094
1.165228 0.970855
1.165257 0.941759
1.165287 0.911072
1.165317 0.892622
1.165346 0.897904
1.165376 0.926269
1.165406 0.958132
1.165435 0.979539
1.165465 0.990660
1.165495 0.993408
1.165524 0.988265
1.165554 0.975521
1.165584 0.953876
1.165613 0.923547
1.165643 0.900451
1.165673 0.898937
1.165702 0.919227
1.165732 0.951261
1.165762 0.977063
1.165791 0.990702
1.165821 0.995442
1.165851 0.996011
1.165880 0.994834
1.165910 0.993224
1.165940 0.992149
1.165969 0.990936
1.165999 0.987303
1.166029 0.979102
1.166058 0.967594
1.166088 0.952818
1.166118 0.948812
1.166147 0.955153
1.166177 0.966471
1.166207 0.976181
1.166236 0.979191
1.166266 0.979146
1.166296 0.982216
1.166325 0.988794
1.166355 0.996699
1.166385 1.001440
1.166414 1.003573
1.166444 1.003146
1.166474 0.999120
1.166503 0.987685
1.166533 0.966027
1.166563 0.932439
1.166592 0.902983
1.166622 0.892643
1.166652 0.908707
1.166681 0.932975
1.166711 0.955363
1.166741 0.960647
1.166770 0.947300
1.166800 0.918765
1.166830 0.888560
1.166859 0.877549
1.166889 0.884542
1.166919 0.899129
1.166948 0.919743
1.166978 0.937037
1.167008 0.950612
1.167037 0.961707
1.167067 0.969696
1.167097 0.974107
1.167126 0.972727
1.167156 0.965070
1.167186 0.957853
1.167215 0.957619
1.167245 0.965079
1.167275 0.975651
1.167304 0.986549
1.167334 0.992152
1.167364 0.992273
1.167393 0.991640
1.167423 0.992268
1.167453 0.993456
1.167482 0.994423
1.167512 0.994672
1.167542 0.994231
1.167571 0.993220
1.167601 0.992612
1.167631 0.993766
1.167660 0.996504
1.167690 0.999239
1.167720 1.001191
1.167749 1.000655
1.167779 0.998801
1.167809 0.996893
1.167838 0.996293
1.167868 0.996120
1.167898 0.994536
1.167927 0.987644
1.167957 0.969597
1.167987 0.939090
1.168016 0.912039
1.168046 0.891609
1.168076 0.895099
1.168105 0.911359
1.168135 0.930975
1.168165 0.948147
1.168194 0.963177
1.168224 0.978343
1.168254 0.989333
1.168283 0.987043
1.168313 0.971334
1.168343 0.944436
1.168372 0.921575
1.168402 0.912542
1.168432 0.920587
1.168461 0.941380
1.168491 0.965984
1.168521 0.978262
1.168550 0.980755
1.168580 0.979355
1.168610 0.979655
1.168639 0.984504
1.168669 0.991312
1.168699 0.995971
1.168728 0.999302
1.168758 0.999782
1.168788 0.996683
1.168817 0.984514
1.168847 0.956795
1.168877 0.898978
1.168906 0.827406
1.168936 0.736995
1.168966 0.642702
1.168995 0.604018
1.169025 0.633024
1.169055 0.707963
1.169084 0.801829
1.169114 0.881906
1.169144 0.939179
1.169173 0.972524
1.169203 0.990393
1.169233 0.997009
1.169262 0.997048
1.169292 0.990209
1.169322 0.974845
1.169351 0.953433
1.169381 0.932024
1.169411 0.919246
1.169440 0.919274
1.169470 0.929371
1.169500 0.929514
1.169529 0.917103
1.169559 0.903275
1.169589 0.904329
1.169618 0.921639
1.169648 0.947897
